subfigure,M,constellation,receiver,loss_db_per_arm_code,end_to_end_loss_db_midpoint,hashing_bound_bits_per_attempt,optimized_spacing_d,source_dataset,loss_db,vacuum_rate,raw_rate,raw_minus_vacuum,vacuum_d,raw_d,source_file,raw_success_probability,raw_average_target_fidelity,raw_useful_outcomes,raw_candidate_seconds,note,source_label,source_priority,vacuum_candidate_source,raw_candidate_source,vacuum_candidate_seconds,vacuum_bracket_min,vacuum_bracket_max,raw_bracket_min,raw_bracket_max,vacuum_optimizer_success,raw_optimizer_success,vacuum_optimizer_nfev,raw_optimizer_nfev,cache_evaluations,vacuum_boundary_peak,raw_boundary_peak,seconds
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,0.96,1.92,0.190954391739,0.2523848279,merged_32qam_seeded_dense_refined,0.96,0.200325016252,0.190954391739,-0.00937062451275,0.2523848279,0.2523848279,,,,,39.918,dense extra 32-QAM local branch candidate scan,dense_extra,1.0,transition_low_d,transition_low_d,39.918,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,0.97,1.94,0.188851468769,0.2508024371,merged_32qam_seeded_dense_refined,0.97,0.198143141671,0.188851468769,-0.0092916729013,0.2508024371,0.2508024371,,,,,39.138,dense extra 32-QAM local branch candidate scan,dense_extra,1.0,transition_low_d,transition_low_d,39.138,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,0.98,1.96,0.186790954215,0.2492200463,merged_32qam_seeded_dense_refined,0.98,0.196005661041,0.186790954215,-0.00921470682537,0.2492200463,0.2492200463,,,,,41.169,dense extra 32-QAM local branch candidate scan,dense_extra,1.0,transition_low_d,transition_low_d,41.169,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,0.99,1.98,0.184771866702,0.2476376556,merged_32qam_seeded_dense_refined,0.99,0.193911322576,0.184771866702,-0.00913945587355,0.2476376556,0.2476376556,,,,,36.356,dense extra 32-QAM local branch candidate scan,dense_extra,1.0,transition_low_d,transition_low_d,36.356,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,1.0,2.0,0.182792427047,0.2460552648,merged_32qam_seeded_dense_refined,1.0,0.191859917995,0.182792427047,-0.00906749094791,0.24605526482,0.2460552648,,0.999997005754,0.855115684156,926.0,17.934,raw d selected from seeded local branch candidates,seeded,0.0,,,,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,1.05,2.1,0.173433291217,0.2391692582,merged_32qam_seeded_dense_refined,1.05,0.182188171636,0.173433291217,-0.00875488041879,0.239169258181,0.2391692582,,0.999997990555,0.856810076068,924.0,17.501,raw d selected from seeded local branch candidates,seeded,0.0,,,,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,1.1,2.2,0.164996069738,0.2325470222,merged_32qam_seeded_dense_refined,1.1,0.173403472806,0.164996069738,-0.00840740306809,0.232547022228,0.2325470222,,0.999994629841,0.858698207142,920.0,19.974,raw d selected from seeded local branch candidates,seeded,0.0,,,,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,1.15,2.3,0.15736725123,0.2265786707,merged_32qam_seeded_dense_refined,1.15,0.165377813384,0.15736725123,-0.0080105621537,0.226578670712,0.2265786707,,0.999996327847,0.86030526802,916.0,9.051,raw d selected from seeded local branch candidates,seeded,0.0,,,,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,1.2,2.4,0.150414520889,0.2213106392,merged_32qam_seeded_dense_refined,1.2,0.158013728078,0.150414520889,-0.00759920718904,0.221310639162,0.2213106392,,0.99999841778,0.861518587286,916.0,8.338,raw d selected from seeded local branch candidates,seeded,0.0,,,,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,1.25,2.5,0.143994792496,0.216538803,merged_32qam_seeded_dense_refined,1.25,0.151238475667,0.143994792496,-0.00724368317094,0.21653880299,0.216538803,,0.999996601543,0.862511847287,914.0,8.208,raw d selected from seeded local branch candidates,seeded,0.0,,,,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,1.3,2.6,0.138164146286,0.2108307421,merged_32qam_seeded_dense_refined,1.3,0.144960126954,0.138164146286,-0.0067959806677,0.21083074214,0.2108307421,,0.999989617679,0.864893773416,906.0,7.771,raw d selected from seeded local branch candidates,seeded,0.0,,,,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,1.35,2.7,0.132701496544,0.2079964841,merged_32qam_seeded_dense_refined,1.35,0.139145111679,0.132701496544,-0.00644361513461,0.207996484072,0.2079964841,,0.999998589304,0.864235846996,906.0,7.952,raw d selected from seeded local branch candidates,seeded,0.0,,,,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,1.4,2.8,0.127670148857,0.2042147151,merged_32qam_seeded_dense_refined,1.4,0.133722791517,0.127670148857,-0.00605264266003,0.204214715082,0.2042147151,,0.999998433661,0.864916549809,904.0,8.519,raw d selected from seeded local branch candidates,seeded,0.0,,,,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,1.45,2.9,0.122970131476,0.2006781493,merged_32qam_seeded_dense_refined,1.45,0.128659353381,0.122970131476,-0.00568922190486,0.200678149294,0.2006781493,,0.999991106179,0.865535846293,904.0,8.238,raw d selected from seeded local branch candidates,seeded,0.0,,,,,,,,,,,,,,,
Fig. 1(c),32,32-QAM,full_state_raw_label_srm,1.5,3.0,0.118558730859,0.1973673963,merged_32qam_seeded_dense_refined,1.5,0.12392000802,0.118558730859,-0.00536127716053,0.197367396331,0.1973673963,,0.99999826954,0.866094872211,904.0,9.19,raw d selected from seeded local branch candidates,seeded,0.0,,,,,,,,,,,,,,,
